STATION,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,FMTM
GHCND:USW00094728,2000-01-01,0,-9999,0,100,11,26,250,230,72,94,1337,1337
GHCND:USW00094728,2000-01-02,0,-9999,0,156,61,21,260,260,72,112,2313,2314
GHCND:USW00094728,2000-01-03,0,-9999,0,178,106,30,260,250,67,94,320,321
GHCND:USW00094728,2000-01-04,178,-9999,0,156,78,35,320,350,67,107,1819,1840
GHCND:USW00094728,2000-01-05,0,-9999,0,83,-17,51,330,340,107,143,843,844
GHCND:USW00094728,2000-01-06,0,-9999,0,56,-22,30,220,250,67,98,1833,1834
GHCND:USW00094728,2000-01-07,0,-9999,0,94,17,42,300,310,103,156,1521,1601
GHCND:USW00094728,2000-01-09,5,-9999,0,106,28,26,270,270,63,89,22,601
GHCND:USW00094728,2000-01-10,213,-9999,0,144,67,41,280,260,94,139,1736,1758
GHCND:USW00094728,2000-01-11,0,-9999,0,111,44,49,300,310,112,174,1203,1203
GHCND:USW00094728,2000-01-12,0,-9999,0,83,39,39,330,330,94,161,536,610
GHCND:USW00094728,2000-01-13,13,-9999,0,39,-78,51,90,10,103,143,1539,843
GHCND:USW00094728,2000-01-14,0,0,0,-56,-106,72,330,340,125,165,1422,1350
GHCND:USW00094728,2000-01-15,0,-9999,0,-11,-83,31,320,330,80,130,241,201
GHCND:USW00094728,2000-01-16,0,-9999,0,78,-61,52,320,300,125,170,2319,2219
GHCND:USW00094728,2000-01-17,0,-9999,0,-61,-139,63,330,310,134,201,250,253
